service_id,date,exception_type
DEC25-D01CAR-3_Sunday,20251225,1
DEC25-D01CAR-3_Sunday,20260101,1
DEC25-D01CAR-3_Sunday,20260525,1
DEC25-D01CAR-1_Weekday,20251225,2
DEC25-D01CAR-1_Weekday,20260101,2
DEC25-D01CAR-1_Weekday,20260525,2
DEC25-D02CAR-3_Sunday,20251225,1
DEC25-D02CAR-3_Sunday,20260101,1
DEC25-D02CAR-3_Sunday,20260525,1
DEC25-D02CAR-1_Weekday,20251225,2
DEC25-D02CAR-1_Weekday-KINGMA0,20251225,2
DEC25-D02CAR-1_Weekday-KINGMS1,20251225,2
DEC25-D02CAR-1_Weekday-KINGMB0,20251225,2
DEC25-D02CAR-1_Weekday-SANTHA0,20251225,2
DEC25-D02CAR-1_Weekday-SANTHB0,20251225,2
DEC25-D02CAR-1_Weekday-SANTHS1,20251225,2
DEC25-D02CAR-1_Weekday,20260101,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260101,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260101,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260101,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260101,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260101,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260101,2
DEC25-D02CAR-1_Weekday,20260525,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260525,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260525,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260525,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260525,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260525,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260525,2
DEC25-D02CAR-1_Weekday-SANTHB0,20251215,2
DEC25-D02CAR-1_Weekday-SANTHA0,20251215,2
DEC25-D02CAR-1_Weekday-KINGMA0,20251215,2
DEC25-D02CAR-1_Weekday-KINGMB0,20251215,2
DEC25-D02CAR-1_Weekday-SANTHS1,20251216,2
DEC25-D02CAR-1_Weekday-SANTHA0,20251216,2
DEC25-D02CAR-1_Weekday-KINGMB0,20251216,2
DEC25-D02CAR-1_Weekday-KINGMS1,20251216,2
DEC25-D02CAR-1_Weekday-SANTHB0,20251217,2
DEC25-D02CAR-1_Weekday-SANTHA0,20251217,2
DEC25-D02CAR-1_Weekday-KINGMA0,20251217,2
DEC25-D02CAR-1_Weekday-KINGMB0,20251217,2
DEC25-D02CAR-1_Weekday-SANTHB0,20251218,2
DEC25-D02CAR-1_Weekday-SANTHA0,20251218,2
DEC25-D02CAR-1_Weekday-KINGMA0,20251218,2
DEC25-D02CAR-1_Weekday-KINGMB0,20251218,2
DEC25-D02CAR-1_Weekday-SANTHB0,20251219,2
DEC25-D02CAR-1_Weekday-SANTHA0,20251219,2
