route_id,fare_id,route_id_base
2-13196,1,2
2-13196,2,2
4-13196,1,4
4-13196,2,4
10-13196,1,10
10-13196,2,10
14-13196,1,14
14-13196,2,14
16-13196,1,16
16-13196,2,16
18-13196,1,18
18-13196,2,18
20-13196,1,20
20-13196,2,20
28-13196,1,28
28-13196,2,28
30-13196,1,30
30-13196,2,30
33-13196,1,33
33-13196,2,33
35-13196,1,35
35-13196,2,35
40-13196,1,40
40-13196,2,40
45-13196,1,45
45-13196,2,45
51-13196,1,51
51-13196,2,51
53-13196,1,53
53-13196,2,53
55-13196,1,55
55-13196,2,55
60-13196,1,60
60-13196,2,60
62-13196,1,62
62-13196,2,62
66-13196,1,66
66-13196,2,66
70-13196,1,70
70-13196,2,70
74-13196,1,74
74-13196,2,74
76-13196,1,76
76-13196,2,76
78-13196,1,78
78-13196,2,78
81-13196,1,81
81-13196,2,81
90-13196,1,90
90-13196,2,90
92-13196,1,92
92-13196,2,92
94-13196,1,94
94-13196,2,94
102-13196,1,102
102-13196,2,102
105-13196,1,105
105-13196,2,105
108-13196,1,108
108-13196,2,108
110-13196,1,110
110-13196,2,110
111-13196,1,111
111-13196,2,111
115-13196,1,115
115-13196,2,115
117-13196,1,117
117-13196,2,117
120-13196,1,120
120-13196,2,120
125-13196,1,125
125-13196,2,125
127-13196,1,127
127-13196,2,127
128-13196,1,128
128-13196,2,128
134-13196,1,134
134-13196,2,134
150-13196,1,150
150-13196,2,150
152-13196,1,152
152-13196,2,152
154-13196,1,154
154-13196,2,154
155-13196,1,155
155-13196,2,155
158-13196,1,158
158-13196,2,158
161-13196,1,161
161-13196,2,161
162-13196,1,162
162-13196,2,162
164-13196,1,164
164-13196,2,164
165-13196,1,165
165-13196,2,165
166-13196,1,166
166-13196,2,166
167-13196,1,167
167-13196,2,167
169-13196,1,169
169-13196,2,169
179-13196,1,179
179-13196,2,179
180-13196,1,180
180-13196,2,180
182-13196,1,182
182-13196,2,182
202-13196,1,202
202-13196,2,202
204-13196,1,204
204-13196,2,204
205-13196,1,205
205-13196,2,205
206-13196,1,206
206-13196,2,206
207-13196,1,207
207-13196,2,207
209-13196,1,209
209-13196,2,209
210-13196,1,210
210-13196,2,210
211-13196,1,211
211-13196,2,211
212-13196,1,212
212-13196,2,212
217-13196,1,217
217-13196,2,217
218-13196,1,218
218-13196,2,218
222-13196,1,222
222-13196,2,222
224-13196,1,224
224-13196,2,224
230-13196,1,230
230-13196,2,230
232-13196,1,232
232-13196,2,232
233-13196,1,233
233-13196,2,233
234-13196,1,234
234-13196,2,234
236-13196,1,236
236-13196,2,236
237-13196,1,237
237-13196,2,237
240-13196,1,240
240-13196,2,240
242-13196,1,242
242-13196,2,242
244-13196,1,244
244-13196,2,244
246-13196,1,246
246-13196,2,246
251-13196,1,251
251-13196,2,251
258-13196,1,258
258-13196,2,258
260-13196,1,260
260-13196,2,260
265-13196,1,265
265-13196,2,265
266-13196,1,266
266-13196,2,266
267-13196,1,267
267-13196,2,267
268-13196,1,268
268-13196,2,268
287-13196,1,287
287-13196,2,287
294-13196,1,294
294-13196,2,294
296-13196,1,296
296-13196,2,296
344-13196,1,344
344-13196,2,344
460-13196,1,460
460-13196,2,460
487-13196,1,487
487-13196,2,487
501-13196,1,501
501-13196,2,501
550-13196,1,550
550-13196,2,550
577-13196,1,577
577-13196,2,577
601-13196,1,601
601-13196,2,601
602-13196,1,602
602-13196,2,602
605-13196,1,605
605-13196,2,605
611-13196,1,611
611-13196,2,611
617-13196,1,617
617-13196,2,617
660-13196,1,660
660-13196,2,660
662-13196,1,662
662-13196,2,662
665-13196,1,665
665-13196,2,665
690-13196,1,690
690-13196,2,690
694-13201,4,697
695-13201,4,697
696-13201,4,697
697-13196,4,697
720-13196,1,720
720-13196,2,720
754-13196,1,754
754-13196,2,754
761-13196,1,761
761-13196,2,761
901-13196,3,901
910-13196,1,910
910-13196,2,910
